"id","plot","trt","spp","rep","focal","allometry_method","total_leaf_area_cm2","leaf_length_cm","stem_length_cm","dry_biomass_g","sla_cm2g","sla_mm2mg","notes.x","time","FmPrime","FoPrime","Fs","FvP_over_FmP","leaf_thickness","LEF","PAR","NPQt","Phi2","PhiNO","PhiNPQ","PS1.Active.Centers","PS1.Open.Centers","PS1.Over.Reduced.Centers","PS1.Oxidized.Centers","qL","SPAD"
"plot3_amb_mai_sla_01",3,"amb","mai",1,"n","manual",88.041,7.7,13.9,0.2452,359.058,35.906,NA,"6/27/24 10:13",59.27,44,57,0.258,0.26,0.54,31.418,13.058,0.038,0.068,0.893,0.621,-0.038,0.685,0.353,0.115,44.003
"plot3_amb_mai_sla_02",3,"amb","mai",2,"n","manual",466.143,16.9,55.1,1.3016,358.131,35.813,NA,"6/27/24 10:15",58.47,48,60.67,0.179,0.4,-0.19,11.108,21.379,-0.038,0.046,0.991,0.293,0.445,0.488,0.067,-0.166,43.382
"plot3_amb_mai_sla_03",3,"amb","mai",3,"n","manual",451.924,15.1,50.4,1.2012,376.227,37.623,NA,"6/27/24 10:22",55.83,43,58.33,0.23,0.6,-1.09,53.812,15.351,-0.045,0.064,0.981,0.045,-0.495,-5.368,6.862,-0.144,41.29
"plot3_amb_mai_sla_04",3,"amb","mai",4,"n","manual",451.325,14.6,47.4,1.2166,370.972,37.097,NA,"6/27/24 10:27",57.76,42,57.67,0.273,0.36,0.08,90.284,12.008,0.002,0.077,0.922,0.452,-0.01,0.542,0.468,0.004,37.172
"plot3_amb_mai_sla_05",3,"amb","mai",5,"n","manual",514.492,15.9,50.5,1.5527,331.353,33.135,NA,"6/27/24 10:32",61.4,51,60.67,0.169,0.73,0.49,91.185,22.919,0.012,0.041,0.947,0.687,0.047,0.692,0.262,0.06,44.636
"plot3_amb_tri_sla_01",3,"amb","tri",1,"n","imagej",297.57,14.5,NA,0.5518,539.271,53.927,NA,"6/6/24 10:59",57.56,41,58.67,0.288,0.67,-2.15,251.941,11.084,-0.019,0.084,0.935,-0.522,-0.238,1.236,0.002,-0.047,41.76
"plot3_amb_tri_sla_02",3,"amb","tri",2,"n","imagej",180.348,14,NA,0.4266,422.757,42.276,NA,"6/6/24 11:02",55.67,39,55,0.299,0.43,0.04,7.996,10.419,0.012,0.087,0.902,-0.518,-0.067,4.058,-2.991,0.028,39.434
"plot3_amb_tri_sla_03",3,"amb","tri",3,"n","imagej",202.28,10.5,NA,0.392,516.02,51.602,NA,"6/6/24 11:03",55.83,42,56.67,0.248,0.83,-5.95,881.027,13.816,-0.015,0.069,0.946,-0.395,-0.329,2.769,-1.44,-0.045,45.043
"plot3_amb_tri_sla_04",3,"amb","tri",4,"n","imagej",396.345,13.4,NA,0.7961,497.858,49.786,NA,"6/6/24 11:05",55.77,43,54,0.229,0.57,0.05,3.819,15.427,0.032,0.059,0.909,0.679,0.112,0.876,0.012,0.111,39.279
"plot3_amb_tri_sla_05",3,"amb","tri",5,"n","imagej",48.753,7.4,NA,0.0634,768.975,76.897,NA,"6/6/24 11:06",57.61,45,56,0.219,1.81,0.03,2.343,16.41,0.028,0.056,0.916,0.574,0.833,-0.999,1.166,0.103,33.579
"plot3_weed_mai_sla_01",3,"weed","mai",1,"n","manual",211.903,10.7,23.8,0.4534,467.364,46.736,NA,"6/27/24 10:44",58.22,48,57,0.176,0.33,0.03,2.753,21.915,0.021,0.043,0.936,0.432,0.087,0.554,0.358,0.101,31.817
"plot3_weed_mai_sla_02",3,"weed","mai",2,"n","manual",658.03,18.6,64.8,1.8407,357.489,35.749,NA,"6/27/24 10:56",60.87,43,59,0.294,0.46,0.2,14.081,10.745,0.031,0.083,0.887,0.571,0.112,0.537,0.351,0.076,41.767
"plot3_weed_mai_sla_03",3,"weed","mai",3,"n","manual",356.628,14.5,45.7,0.967,368.798,36.88,NA,"6/27/24 11:04",62.3,46,62.33,0.262,0.61,0,2.952,12.773,-0.001,0.073,0.928,0.055,0.837,-3.995,4.158,-0.002,40.411
"plot3_weed_mai_sla_04",3,"weed","mai",4,"n","manual",210.65,11.6,31.4,0.3715,567.026,56.703,"some fungal fruiting bodies (white) visible on some leaves","6/27/24 11:11",60.64,43,61.33,0.291,0.19,-0.01,2.009,10.896,-0.011,0.085,0.926,0.116,-0.943,-1.17,3.112,-0.028,22.317
"plot3_weed_mai_sla_05",3,"weed","mai",5,"n","manual",351.114,13.2,34.1,0.7421,473.136,47.314,NA,"6/27/24 11:21",60.46,50,62.67,0.173,0.35,-0.11,6.651,22.327,-0.036,0.044,0.992,-0.73,0.039,1.094,-0.133,-0.168,35.1
"plot3_weed_tri_sla_01",3,"weed","tri",1,"n","imagej",398.553,14.9,NA,0.7348,542.397,54.24,NA,"6/6/24 11:12",59.94,44,56,0.266,0.81,0.14,4.686,12.467,0.066,0.069,0.865,-0.535,1.156,2.713,-2.869,0.194,34.59
"plot3_weed_tri_sla_02",3,"weed","tri",2,"n","imagej",155.523,9.9,NA,0.3261,476.918,47.692,NA,"6/6/24 11:17",60.56,43,57.67,0.29,0.29,0.29,13.249,10.952,0.048,0.08,0.873,-0.992,-0.369,1.69,-0.321,0.123,41.226
"plot5_amb_mai_sla_01",5,"amb","mai",1,"n","manual",677.699,18,56.8,1.695,399.822,39.982,NA,"6/27/24 11:46",61.47,49,62,0.203,0.67,-0.08,18.816,18.176,-0.009,0.053,0.956,0.133,0.163,-0.552,1.389,-0.034,37.882
"plot5_amb_mai_sla_02",5,"amb","mai",2,"n","manual",579.823,16.6,50.1,1.4371,403.467,40.347,NA,"6/27/24 11:53",57.28,47,57.33,0.179,0.35,-0.01,13.986,21.316,-0.001,0.045,0.956,0.077,0.77,-3.21,3.44,-0.004,38.23
"plot5_amb_mai_sla_03",5,"amb","mai",3,"n","manual",963.866,20.2,76.9,2.9131,330.873,33.087,NA,"6/27/24 12:09",64.14,45,63.67,0.298,0.59,0.11,33.651,10.471,0.007,0.087,0.906,1.294,0.119,1.12,-0.239,0.018,49.838
"plot5_amb_mai_sla_04",5,"amb","mai",4,"n","manual",70.345,8.4,15.2,0.1558,451.508,45.151,NA,"6/27/24 12:16",58.94,47,61,0.203,0.2,-0.2,12.998,18.202,-0.035,0.054,0.981,0.502,0.022,0.461,0.517,-0.133,40.049
