"id","spp","plot","subplot","julian_date","Vcmax","Jmax","Rd","TPU"
"583","Tri","3","23","104","41.9046548502149","96.325043432528","3.4231110818961",NA
"4934","Tri","3","23","104","50.6311591220215","115.171710571629","4.09027396397604",NA
"452","Tri","3","22","104","55.7513359432294","118.820774972811","4.40998841554259",NA
"6558","Tri","3","22","104","65.8622437812731","142.471834254813","5.93154780271492",NA
"1666","Tri","3","27","104","64.8763973194276","122.784568801575","4.6932187640325",NA
"4942","Tri","3","27","104","75.5031316589866","155.427214015792","6.02051612647883",NA
"5479","Tri","3","21","104","57.9607609763272","112.099683731768","5.00812206278326",NA
"774","Tri","3","20","104","67.7186944512661","137.477693849117","6.67186806627074",NA
"6885","Tri","3","20","104","75.4928599106074","162.734351040661","6.62258909270944",NA
"2329","Tri","3","20","104","90.5443901647314","162.792614086242","7.07124807383941",NA
"4714","Tri","3","7","104","96.9735035791442","199.947961426832","6.78191873649859",NA
"902","Tri","3","7","104","106.651440871637","182.24459994806","7.02418269253617",NA
"552","Tri","3","14","104","78.6170834077639","139.767803137917","5.88368219112459",NA
"5436","Tri","3","3","104","116.865332138948","196.72043568958","9.56802438665304",NA
"3563","Tri","3","4","104","83.2436280247405","161.677304850627","5.74648643871787",NA
"1926","Tri","3","5","104","92.0232725512636","161.97726176449","7.5439050705675",NA
"425","Tri","3","6","104","116.097337014573","217.622037324347","6.31402550499356",NA
"2924","Tri","5","35","104","70.7766075974755","138.562276630641","3.15876872210363",NA
"6875","Tri","5","29","104","77.3829891935962","147.847586340733","3.43435127707127",NA
"2988","Tri","5","33","104","109.620156321992","189.890289482584","3.99211710447597",NA
