id,machine,date,doy,spp,plot,subplot,gm.trt,anet,ci,ci.ca,gsw,iwue,vcmax,vcmax25,jmax,jmax25,rd,rd25,TPU,leaf_length_cm,stem_length_cm,total_leaf_area_cm2,Tleaf,tavg10,vp10,atmpres10,vpd10,init_leaf_length_cm,init_stem_length_cm,init_leaf_area
543,ozzie,5/22/24,143,Mai,3,30,ambient,2.0318,297.3743518,0.7081,0.0301,67.6046,20.0741,15.5939,38.2557,32.2097,1.3736,1.0606,NA,13.8,39.6,360.0081209,28.8086,18.2517,1.7097,97.7547,0.4582,13.6,37.6,331.3603589
552,albert,4/13/24,104,Tri,3,14,weeded,11.8889,239.3383459,0.5699,0.1285,92.505,78.6171,83.3931,139.7678,146.3864,5.8837,6.3365,NA,8.3,NA,105.1893577,23.9873,10.6016,0.9822,97.5974,0.3699,8.3,NA,105.1893577
552,albert,4/28/24,119,Tri,3,14,weeded,9.5022,281.3411656,0.6698,0.1326,71.6342,93.7308,85.4176,117.7595,107.4188,4.0842,2.6498,NA,12.5,NA,258.9417201,31.6817,11.4021,0.9247,98.4151,0.5293,8.3,NA,105.1893577
552,albert,5/16/24,137,Tri,3,14,weeded,5.154,311.3212202,0.7415,0.0952,54.154,36.0438,31.0519,63.0537,56.6394,2.7216,2.2928,NA,13,NA,282.2769232,27.4712,15.0058,1.4508,97.435,0.3238,8.3,NA,105.1893577
552,albert,5/30/24,151,Tri,3,14,weeded,2.9819,334.9759805,0.7977,0.0693,43.0427,12.375,15.6147,29.6712,34.8611,1.0681,1.3118,NA,12.7,NA,268.1440633,22.2642,18.5012,1.7574,97.8029,0.4305,8.3,NA,105.1893577
583,albert,4/13/24,104,Tri,3,23,ambient,12.3864,286.0429329,0.681,0.1895,65.3525,41.9047,69.1772,96.325,139.4928,3.4231,5.7408,NA,7.4,NA,81.71650495,18.4777,10.6016,0.9822,97.5974,0.3699,7.4,NA,81.71650495
583,ozzie,4/28/24,119,Tri,3,23,ambient,9.9454,216.5770754,0.5157,0.0894,111.1929,125.2047,132.0333,112.6406,115.7767,1.1475,0.6484,7.2542,10.7,NA,183.9265018,34.2106,11.4021,0.9247,98.4151,0.5293,7.4,NA,81.71650495
614,albert,4/22/24,113,Tri,5,11,ambient,9.6173,294.0400676,0.7005,0.1509,63.7187,39.8047,52.5175,91.8474,112.4042,3.339,4.4239,NA,14.2,NA,342.7949045,21.3061,12.6771,0.9363,98.0128,0.6478,14.2,NA,342.7949045
614,albert,5/13/24,134,Tri,5,11,ambient,5.0883,349.7466745,0.8331,0.1572,32.3741,27.8111,23.942,63.6891,57.1331,1.5922,1.3336,NA,14.6,NA,364.3982501,27.5577,14.6721,1.4778,97.637,0.2532,14.2,NA,342.7949045
631,stan,5/13/24,134,Mai,5,3,weeded,10.0442,293.2768401,0.6984,0.1575,63.7805,67.7085,58.1453,110.5435,98.9859,3.5916,2.9977,6.7865,17,59,681.3389527,27.6113,14.6721,1.4778,97.637,0.2532,17,59,681.3389527
631,stan,5/28/24,149,Mai,5,3,weeded,7.6814,307.2768018,0.7323,0.1351,56.8706,40.9026,39.016,74.0197,71.6645,2.2183,2.1268,4.7135,17.8,61.1,720.5530095,25.5895,19.6183,1.8392,97.7495,0.498,17,59,681.3389527
631,stan,6/8/24,160,Mai,5,3,weeded,7.3494,304.4715079,0.7252,0.1242,59.1906,40.5767,35.1901,67.0736,60.7652,1.6469,1.4299,4.3325,17.1,61.5,728.1153473,27.0215,17.4071,1.6229,97.9415,0.4355,17,59,681.3389527
631,stan,6/21/24,173,Mai,5,3,weeded,5.7325,311.9094582,0.743,0.1023,56.0408,36.4847,27.0366,54.5263,44.6731,1.1825,0.8994,3.2841,17.1,66.8,831.0790601,29.0447,21.2275,2.0712,98.5082,0.5591,17,59,681.3389527
631,stan,7/3/24,185,Mai,5,3,weeded,4.8061,277.1798546,0.6602,0.061,78.8026,37.8403,27.01,54.2919,43.4502,1.2346,0.9004,3.4768,16.5,64.5,785.7701802,29.7182,21.0854,1.9594,98.1286,0.6138,17,59,681.3389527
631,stan,7/19/24,201,Mai,5,3,weeded,4.5123,286.9551316,0.6849,0.0621,72.6761,23.5406,24.0092,43.0289,43.6087,1.1543,1.1733,2.7885,17.1,65.4,803.3862552,24.7751,23.5383,2.1273,98.101,0.8655,17,59,681.3389527
631,stan,8/24/24,237,Mai,5,3,weeded,4.2306,325.7980559,0.7763,0.0868,48.7308,20.8698,23.4654,41.657,45.1851,1.615,1.7947,2.752,17.1,65.4,803.3862552,23.5679,18.1442,1.7069,98.3496,0.4503,17,59,681.3389527
684,albert,4/15/24,106,Tri,6,2,weeded,14.911,272.5598196,0.6506,0.2083,71.6003,108.0926,93.0557,195.8001,174.079,4.9736,3.9339,NA,10.5,NA,176.4478854,28.4321,12.5229,1.0926,97.5092,0.448,10.5,NA,176.4478854
684,albert,5/1/24,122,Tri,6,2,weeded,9.6458,286.9648416,0.684,0.1422,67.8458,71.7313,58.0843,128.557,109.8602,2.1626,1.5296,NA,15.9,NA,439.6161854,30.2185,14.0067,1.1273,98.3532,0.6098,10.5,NA,176.4478854
684,stan,5/20/24,141,Tri,6,2,weeded,7.5254,269.5624596,0.6428,0.0951,79.1613,68.4417,51.7962,104.9652,86.6044,1.9709,1.3208,NA,15.3,NA,403.9439871,31.1236,16.0542,1.5486,97.69,0.3561,10.5,NA,176.4478854
684,stan,5/31/24,152,Tri,6,2,weeded,5.563,293.7156386,0.6995,0.0879,63.2869,39.5285,38.3194,88.7956,86.9022,5.562,5.4024,NA,16,NA,445.7218884,25.4064,17.7296,1.6713,97.9046,0.4233,10.5,NA,176.4478854
684,stan,6/13/24,165,Tri,6,2,weeded,6.5528,316.9729266,0.7549,0.126,51.9862,36.2202,28.5284,67.4946,57.3188,0.7629,0.5963,NA,16,NA,445.7218884,28.6172,17.9233,1.627,97.6045,0.4905,10.5,NA,176.4478854
762,albert,4/15/24,106,Tri,6,2,weeded,18.375,273.7722224,0.6535,0.2816,65.2442,110.6222,94.8616,218.3211,193.4399,1.9062,1.49,NA,7.6,NA,86.65425704,28.6158,12.5229,1.0926,97.5092,0.448,7.6,NA,86.65425704
762,albert,5/1/24,122,Tri,6,2,weeded,10.3181,286.6443527,0.6832,0.1528,67.51,65.4783,54.512,126.9125,110.7791,1.86,1.4469,NA,14.1,NA,337.5064274,28.6907,14.0067,1.1273,98.3532,0.6098,7.6,NA,86.65425704
762,stan,5/20/24,141,Tri,6,2,weeded,7.4127,296.351415,0.7069,0.1161,63.8447,52.4273,41.7213,91.4442,77.8738,1.7611,1.3445,NA,14.6,NA,364.3982501,28.9862,16.0542,1.5486,97.69,0.3561,7.6,NA,86.65425704
762,stan,5/31/24,152,Tri,6,2,weeded,6.5238,297.5609829,0.7086,0.1068,61.079,32.8908,36.4134,64.777,69.5249,2.3037,2.5274,NA,14.1,NA,337.5064274,23.7389,17.7296,1.6713,97.9046,0.4233,7.6,NA,86.65425704
774,albert,4/13/24,104,Tri,3,20,weeded,13.0755,269.006643,0.642,0.1754,74.5302,68.6119,87.8037,138.1605,166.5264,6.8022,8.9454,NA,9.5,NA,141.5767477,21.399,10.6016,0.9822,97.5974,0.3699,9.5,NA,141.5767477
774,ozzie,4/28/24,119,Tri,3,20,weeded,11.3772,255.649346,0.6088,0.1316,86.4642,75.4371,65.8828,114.2975,101.7446,0.9706,0.7285,NA,11.6,NA,219.6886278,29.2544,11.4021,0.9247,98.4151,0.5293,9.5,NA,141.5767477
774,albert,5/16/24,137,Tri,3,20,weeded,5.47,334.5572153,0.7968,0.1311,41.7399,38.3819,31.6743,65.7755,57.2741,2.8953,2.2857,NA,10.5,NA,176.4478854,28.4613,15.0058,1.4508,97.435,0.3238,9.5,NA,141.5767477
902,albert,4/13/24,104,Tri,3,7,weeded,13.8298,229.8185903,0.5471,0.1439,96.0779,108.7845,107.2562,183.4646,181.3883,7.2479,7.1075,NA,7.4,NA,81.71650495,25.2725,10.6016,0.9822,97.5974,0.3699,7.4,NA,81.71650495
902,albert,4/28/24,119,Tri,3,7,weeded,12.8091,295.908101,0.7048,0.2157,59.3901,87.3849,76.3099,140.0256,124.5162,2.8685,2.1233,NA,9.6,NA,144.8760887,29.4783,11.4021,0.9247,98.4151,0.5293,7.4,NA,81.71650495
916,stan,5/6/24,127,Tri,3,16,ambient,8.9423,287.8658831,0.6864,0.1315,67.9864,58.01,51.5727,99.7031,91.9224,3.4814,3.1098,NA,16,NA,445.7218884,26.6048,17.91,1.5428,98.163,0.5869,16,NA,445.7218884
978,albert,4/15/24,106,Tri,6,6,ambient,13.4177,251.4402952,0.6003,0.1588,84.4715,106.8646,91.6455,208.789,185.005,3.9237,3.0677,NA,8.3,NA,105.1893577,28.6124,12.5229,1.0926,97.5092,0.448,8.3,NA,105.1893577
978,albert,5/1/24,122,Tri,6,6,ambient,7.881,228.7253235,0.5453,0.0748,105.4224,118.0531,96.4809,145.6013,125.4937,4.6721,3.0032,NA,14.3,NA,348.1282624,31.8438,14.0067,1.1273,98.3532,0.6098,8.3,NA,105.1893577
978,stan,5/24/24,145,Tri,6,6,ambient,6.1385,260.4257485,0.6173,0.0685,89.6109,48.5943,39.0849,77.2876,66.6775,1.6884,1.3739,NA,15.1,NA,392.4183289,27.9964,19.37,1.8042,97.7634,0.4973,8.3,NA,105.1893577
978,stan,5/31/24,152,Tri,6,6,ambient,4.396,230.5364131,0.5492,0.0424,103.7668,71.1733,61.4173,84.7647,76.5548,4.0263,3.4846,NA,14.6,NA,364.3982501,27.0696,17.7296,1.6713,97.9046,0.4233,8.3,NA,105.1893577
