"id","machine","doy","anet","ci","ca","co2_ref","gsw","Tleaf","ci.ca","iwue"
"583","albert",104,12.3863832300436,286.042932940275,403.570933333333,420.003,0.189531975631521,18.4777033333333,0.681049737597767,65.3524725248716
"4934","albert",104,13.0774524573254,300.536001208339,402.310741935484,420.077161290323,0.238062294858465,19.8289387096774,0.715430470643066,54.9329009245262
"452","albert",104,11.3635047783318,265.296542404695,404.905258064516,420.105290322581,0.145987447244266,21.7488677419355,0.631500122745384,77.838916926319
"6558","albert",104,11.2070828152425,244.502279131958,405.354333333333,420.1345,0.122759331362079,21.86142,0.581961917271631,91.293123633813
"1666","albert",104,13.8144205302356,257.670234973456,401.781612903226,420.152580645161,0.171372988241145,21.4059548387097,0.613277763468198,80.6102564471645
"4942","albert",104,15.0704990883207,264.278876389252,400.046933333333,420.132266666667,0.200310740201628,21.6310866666667,0.629037323141217,75.2356018112214
"5479","albert",104,10.4071087753495,269.665110808669,405.883233333333,419.996966666667,0.138449738902318,22.8498133333333,0.642064424771644,75.1688580842478
"774","albert",104,13.0755160189811,269.006642988901,402.867,419.0061,0.175439093955423,21.39899,0.642011280954862,74.5302299743034
"6885","albert",104,13.7739704016515,275.415250480058,401.578193548387,420.044096774194,0.197551025643928,20.6369967741936,0.65568175483279,69.7236086563181
"2329","albert",104,12.7501552085593,229.07176336595,403.1796,420.079366666667,0.129429430855974,23.6736566666667,0.545305914888504,98.5104788318769
"4714","albert",104,15.3561008611146,258.305955843718,399.352935483871,420.091,0.198535297593669,24.1596483870968,0.614880956373067,77.3469556660049
"902","albert",104,13.8297899404284,229.818590329489,401.527838709677,420.056903225806,0.143943496678493,25.2724967741935,0.547112994845719,96.0779073702657
"552","albert",104,11.8889238233274,239.338345895526,404.100387096774,419.963096774194,0.128521975137573,23.9873387096774,0.569903278964089,92.5049884317543
"5436","albert",104,11.4684891355561,198.702824681917,323.138633333333,337.8251,0.159700028512441,23.82317,0.588182537892883,71.8126930995675
"3563","albert",104,11.0875632022755,228.435101131162,323.246290322581,337.744129032258,0.208790303470918,24.4996161290323,0.676355505529288,53.1038224379029
"1926","albert",104,9.30483092325677,221.520206443329,325.694466666667,337.8181,0.156827810555696,25.1711166666667,0.655738121916289,59.3315107204933
