"id","spp","plot","subplot","doy","Vcmax","Jmax","Rd","TPU","leaf_length_cm","stem_length_cm"
"5060","Tri","6","27","111","54.4694729011475","127.239852274448","2.74429503943566",NA,"10.3",NA
"5783","Tri","6","20","111","77.3231931971209","164.67950207434","4.62612684160645",NA,"10.6",NA
"5031","Tri","6","28","111","58.5839678125804","133.30536771319","2.83547682802045",NA,"9.4",NA
"4543","Tri","6","16","111","66.5462069282032","140.154865183696","1.75009965346858",NA,"8.8",NA
"2276","Tri","6","22","111","71.3647400993393","157.415983549639","4.01373978150959",NA,"6.8",NA
"4511","Tri","6","16","111","140.072553774848","201.165990214136","12.7134536182902",NA,"11.6",NA
"3770","Tri","6","10","111","64.130777802484","109.323578345253","2.71149382891405",NA,"8.1",NA
"4582","Tri","6","11","111","55.8311132136366","128.877154426115","2.25179972961459",NA,"8.8",NA
"2980","Tri","6","11","111","64.1517790654778","133.259649080036","3.77208557240588",NA,"9.7",NA
"3371","Tri","6","11","111","64.3887331403326","127.414983994176","3.40567203100092",NA,"11.2",NA
"3379","Tri","6","11","111","82.7327746260964","170.506667528834","5.69984356076552",NA,"6.2",NA
"4505","Tri","6","11","111","48.8327796908421","107.092876279672","2.30058170726849",NA,"12",NA
"4745","Tri","6","12","111","68.5910023888431","129.206727253408","4.78095643437116",NA,"13.1",NA
"5722","Tri","6","6","111","47.9793953910732","97.571271856391","2.05024079973016",NA,"13.2",NA
"2921","Tri","6","6","111","50.4459859454238","101.878411889254","3.21786196180247",NA,"11.1",NA
"striped2","Tri","6","5","111","67.7572069507069","140.264479911735","4.50843298400894",NA,"10.2",NA
"5642","Tri","6","4","111","58.2427087058138","123.788090157448","4.19033897752341",NA,"9.9",NA
"6879","Tri","6","36","111","57.3914449044381","114.946292141271","3.96784115104209",NA,"10.3",NA
"7120","Tri","5","17","113","32.4733334603585","72.932904402998","2.18326769430882","5.37675072104062","10.1",NA
"2912","Tri","5","11","113","31.6119241316256","83.3699442813729","1.94979020597135",NA,"13",NA
"614","Tri","5","11","113","39.8047423946823","91.8474291731439","3.33901243921213",NA,NA,NA
"1374","Tri","5","10","113","38.9374032946509","83.7021406823411","3.17684426635648",NA,"11.9",NA
"6881","Tri","5","10","113","36.0739784219001","78.942606820113","2.76795409037278",NA,"11.8",NA
"5381","Tri","5","10","113","25.5678986864959","60.0978136491763","1.40537077060961",NA,"12.7",NA
"4105","Tri","5","10","113","34.9977513346426","85.7006905638209","2.81488680451915",NA,"11.6",NA
"4547","Tri","5","10","113","45.918965844303","95.3284586528389","2.81371805605439",NA,"12.1",NA
"2388","Tri","5","10","113","38.2641135224534","80.3187625658607","1.83176593776273",NA,"14.3",NA
"5904","Tri","5","9","113","37.4472847515975","74.4829235289941","1.73058579160262",NA,"11",NA
"7147","Tri","5","9","113","42.5408177450206","82.3502340206099","2.26750336767438",NA,"12.8",NA
"43","Tri","5","9","113","30.5469282474447","66.4016544071201","1.40944505635757","4.89862267847899","12.7",NA
"86","Tri","5","9","113","41.4712481110792","87.4889208778746","2.14485981103172",NA,"11.2",NA
"flag8","Tri","5","16","113","40.2728498949196","91.3217624795889","2.55958537298328",NA,"11.9",NA
"2563","Tri","5","9","113","48.3351103684806","98.1789069678639","2.96565106087728",NA,NA,NA
"4265","Tri","5","31","114","49.635749713932","98.5649576235236","2.42425973744809",NA,"14.8",NA
"2573","Tri","5","31","114","43.4517010206402","89.6495408228712","2.6030924813073",NA,"14.1",NA
"2547","Tri","5","19","114","55.7828983164728","115.311432518014","2.2379958535819",NA,"14",NA
"4177","Tri","5","14","114","59.983020664923","114.839471657711","3.18103627002829",NA,"15",NA
"1795","Tri","5","14","114","60.1046214146878","99.5715319679685","3.50321166296615",NA,"9.8",NA
"flag3_tri","Tri","5","14","114","62.8906879106805","117.194818712847","3.52341254396721",NA,"12.6",NA
"flag1_tri","Tri","5","14","114","65.9992431027029","118.259861755786","3.76141125240572",NA,"12",NA
"flag2_tri","Tri","5","14","114","74.1744947983215","134.427777136472","4.23994360447848",NA,"13.3",NA
"1739","Tri","5","14","114","104.611728923613","172.190288041562","9.59589598770567",NA,"11",NA
"4149","Tri","5","13","114","84.2438114505165","144.113043023951","6.78345464842939",NA,"13.8",NA
"2329","Tri","3","20","119","71.507433200251","97.5328498984019","1.98294335675535",NA,"13.6",NA
"6885","Tri","3","20","119","69.934641044951","88.4331959749481","0.891992006553818",NA,"11.5",NA
"774","Tri","3","20","119","75.4370528751334","114.297511757356","0.970557201125886",NA,"11.6",NA
"5479","Tri","3","21","119","77.6472250946632","104.606482130862","1.00248795861041",NA,"9.7",NA
"4942","Tri","3","27","119","88.3520287268248","106.281939625652","0.737379014196663",NA,"9.7",NA
"1666","Tri","3","27","119","111.555385774655","137.009643424513","2.07084565237695",NA,"10.4",NA
"6558","Tri","3","22","119","89.636918687724","110.831904103462","0.792463359107413",NA,"13.9",NA
"392","Tri","3","22","119","129.007727629235","133.118352889161","1.94738289587798","8.71285504964827","9.5",NA
"2337","Mai","3","22","119","126.268270701219","121.982724947396","1.81393784281213","7.779964163932","10.8","24.5"
"583","Tri","3","23","119","125.204655336274","112.640553833723","1.1474971231693","7.25415362182732","10.7",NA
"4934","Tri","3","23","119","130.128048896583","120.568962073365","1.86833436126962","7.689315445722","11.5",NA
"1157","Mai","3","30","119","150.924672393323","132.171023086996","1.92785613316455","8.10949586937949","10.9","22.9"
"179","Mai","3","30","119","190.223044564374","160.001003011851","3.5874494460247","9.99575775211391","16.8","57.9"
"4714","Tri","3","7","119","80.789754930421","134.187453529796","1.8827933212545",NA,"11.6",NA
"902","Tri","3","7","119","87.3848653673062","140.025638464467","2.86853096788992",NA,"9.6",NA
"5105","Mai","3","8","119","108.31271300866","169.690147124081","3.32715318791381",NA,"15.5","38.1"
"5184","Mai","3","13","119","119.934342884291","178.250540363457","4.66569106189752",NA,"16.1","42"
"141","Mai","3","13","119","120.228083994014","178.295628922104","4.71181813848441",NA,"16.5","43.4"
"552","Tri","3","8","119","93.7307771656935","117.759461993995","4.08416518066843",NA,"12.5",NA
"4250","Mai","3","2","119","162.783745614063","211.957946512502","6.62752193750265","13.6842428650258","13.2","37.7"
"5488","Tri","3","1","119","136.871259325631","185.602183649654","6.25576679146696",NA,"16.5",NA
"9412","Mai","3","3","119","153.612282844416","179.487974741125","6.4275327539823",NA,"16.1","46.4"
"5436","Tri","3","3","119","163.993774665023","169.145594416681","7.16980662577245","11.0160745884203","14.6",NA
"5495","Tri","3","3","119","135.421445427762","131.482648180002","7.47621438039613",NA,"8.6",NA
"3563","Tri","3","4","119","142.432914616766","151.624649832354","6.92229650765162",NA,"9.5",NA
"2310","Mai","3","4","119","186.716985410269","188.378855949238","8.05860524702987",NA,"13.6","36.4"
"1926","Tri","3","5","119","145.582875245432","149.420101056439","7.52569901186842","9.8442577035029","12.3",NA
"5500","Tri","3","5","119","127.175180283065","156.038831871012","5.94712055853535",NA,"10.9",NA
"1686","Tri","3","6","119","130.147513525593","143.606927451566","6.60169354358874",NA,"15.5",NA
"5797","Tri","3","6","119","132.448127235211","140.531350031707","6.14582488978248","9.42769071731738","13.6",NA
"425","Tri","3","6","119","111.683768044267","127.328257420673","4.88611842073538","8.66612608706308","12.4",NA
"4431","Tri","5","23","120","78.5902807932652","106.409071762049","1.56365076379287",NA,"17",NA
"1476","Mai","5","23","120","86.7954482883385","98.9533346993485","1.12432231644985","6.43280515880764",NA,NA
"5657","Mai","5","23","120","149.826116808636","148.671644865633","3.14946603265854","9.00594084285412",NA,NA
"4781","Mai","5","23","120","118.296635038843","126.914810249978","1.6707632202773","8.04234367859768",NA,NA
"4959","Tri","5","22","120","89.2290067505097","104.533109540105","1.13295406226588","7.12100991772376","15.6",NA
"4414","Tri","5","22","120","109.746488765649","137.404371241405","1.12146520887783",NA,"14.7",NA
"5229","Tri","5","22","120","113.93019385934","118.268224217919","1.46298219958766","7.69062773759503","14",NA
"4990","Tri","5","22","120","113.93019385934","118.268224217919","1.46298219958766","7.69062773759503","18.1",NA
"482","Tri","5","22","120","91.5098253945614","100.985645620575","2.18176974586708","6.65007432617558","14.5",NA
"3004","Tri","5","21","120","99.818608769752","102.677013569512","0.83022819524407","6.91910395699206","18.1",NA
"2508","Tri","5","21","120","124.12000263919","110.462132612862","0.946980712588289","7.16327519820776","13.6",NA
"4576","Tri","5","21","120","108.026322554687","105.820271270728","0.95051445244279","7.02488323069066","14.6",NA
"3077","Tri","5","21","120","130.349853975913","136.624483895094","2.14169232965596","9.00339909861062","11.5",NA
"5052","Mai","5","36","120","109.58645764668","139.742367541027","2.81981742996755","9.2696948087597","16.9","54.9"
"2637","Mai","5","36","120","116.201450726122","157.230937108045","3.36767741700511","10.5101382762467","15.8","40.8"
"2662","Mai","5","36","120","124.584486147117","168.383393033409","3.90387920634771",NA,"17.5","49.4"
"2616","Mai","5","36","120","124.584486147117","168.383393033409","3.90387920634771",NA,"21.1","74"
"6888","Tri","5","35","120","99.997445945517","131.111731402971","3.66772115768523",NA,"14.6",NA
"6875","Tri","5","29","120","102.680240648085","133.001670940451","3.85742912085288",NA,"14",NA
"4444","Tri","5","33","120","111.195088680498","145.943312224177","3.87589741581378",NA,"12.8",NA
"2988","Tri","5","33","120","119.602380305218","145.136607603616","4.36625135181746",NA,"16.5",NA
"3829","Tri","5","33","120","113.419416050338","130.034471125049","4.9486032748288",NA,"13.6",NA
"5877","Tri","5","27","120","130.703817963085","137.20025726344","6.9508479674075",NA,"16.5",NA
"4109","Tri","5","32","120","117.510895083473","137.608622260663","5.69331547273124",NA,"13.2",NA
"2573","Tri","5","31","120","98.2598542396288","126.140721062341","4.48443033348557",NA,"15.7",NA
"4265","Tri","5","31","120","98.295360326003","130.485035899305","4.22120450821721",NA,"17.6",NA
"2547","Tri","5","19","120","125.540245905625","159.546098815001","5.30823556039559",NA,"16",NA
"5228","Tri","5","19","120","111.338249129028","130.612358145484","5.05390141038509",NA,"14.9",NA
"5115","Tri","5","19","120","104.456260012408","130.042151158855","5.61930938469745",NA,"13.2",NA
"1730","Tri","5","19","120","104.71204828034","129.363757670055","5.38561160931472",NA,"14.7",NA
"3136","Mai","6","32","122","60.6766794731445","95.1002826889476","2.52386938792594","6.17528094846675","11.9","27.3"
"5178","Mai","6","32","122","80.4436011987267","120.479387558978","3.73013516957934","7.21603390716767","17.3","61.3"
"5600","Mai","6","32","122","116.193806997402","170.134963679172","3.93666533863309","10.5629086661208","21.6","73.2"
"2608","Mai","6","25","122","158.712166888856","126.725366884929","2.77402466008822",NA,"16.2","48.1"
"6495","Mai","6","25","122","132.752725620967","168.370362719425","4.24457692694517","10.5877026698469","19.9","61.4"
