"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","DarkAdaptedID","Qmax_d","Fo","Fm","Fv/Fm","A_dark","LightAdaptedID","Qmax","Fs","Fm'","PhiPS2","PS2/1","Qabs_fs","A_fs","ETR","PhiCO2","NPQ","alt._Fo'","DarkPulseID","Fmin","Fo'","Fv'/Fm'","qP","qN","qP_Fo","qN_Fo","qL","1-qL","ID","P1_dur","P1_Fmax","T@P1_Fmax","Q@P1_Fmax","P1_PredF","P1_ΔF","P2_dur","P2_ramp","P2_int","P2_int_se","P2_slp","P2_slp_se","P2_R2","P2_dQdt","P3_dur","P3_Fmax","T@P3_Fmax","Q@P3_Fmax","P3_PredF","P3_ΔF","ID","Dur","DCo","InitSlope","Fo","F1","T@F1","T@HIR","F2","T@F2","DCmax","T@DCmax","PhiPS2_dc","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","F_avg","dF/dt","dF_dc/dt","F_dc_avg","period","time","hhmmss","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","AccCO2_soda","AccH2O_des","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA"
"1","1715871413.1","0","20240516 09:56:53","09:56:53","5","TT24_102","ozzie","1715871405.0999994","0.00030735730056586437","0.30735730056586436","1.4370783098144968","418.15046666666666","273.904840619153","26.802127222716038","40.91684535586992","0.01716842474180898","2.88948099630567","0.017111954024198614","0.010700029371087647","321.5178184281083","28.044117167073086","28.044117167073086","3.804610505939449","61.49325292101998","2.100065630203591","3.415115529667702","1.704544875735858","-13.554456954954619","-286.7187997528736","-21.441397167969416","-0.19683544768935235","1.4298022254342742","0.31055874015038837","1.4370783098144968","429.0709759059126","427.3102242424241","-0.00017900498787569398","64.90953987229665","0.30735730056586436","21.092187054125528","21.453195804195804","-1.0544861237993137e-05","110.5629235335931","0","0.0","1","0","51812.0","-","-","0","0","0","0","-","-","0","0","0","0.5","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","2000.0133333333335","1681.2110396000562","0.8405999158005893","0.1607578374951375","6.0","0.5","0: Broadleaf","2.0","True","1715871405.0999994","418.15046666666666","420.02206666666666","21.461659999999995","21.09698666666667","418.9365333333334","21.063573333333338","499.9986666666666","97.75201333333334","0.09995292666666668","26.203553333333332","26.86037333333334","999.8999999999999","0.0","0.0","9998.093333333332","0.0","4.488147999999999","-1.8718306666666666","427.3213333333333","429.07433333333336","0.3646894666666667","420.02206666666666","21.09698666666667","2.0979213333333333","2.0622726666666664","18.20341333333333","17.93074","2000.0133333333335","0.980004","0.019996279999999995","0.0","2.2397466666666666","0.0","21690.666666666668","17403.953333333327","39.753933333333336","39.858066666666666","39.141400000000004","38.674800000000005","38.88726666666666","1960.0193333333334","39.99466666666667","0.0","1715871389.9","0.0","2.2569307692307694","-0.5932512798280077","-116.47863249448464","21689.361538461533","15.0","0","--:--:--","1705876465","1705876460","0","0.025","-0.003","0.817","0.211","420.0","18.0","0.03","0.03","-1.8762862500000002","0.27499058823529865","0.03257006330109752","1","0.363650875","0.03534070588235133","0.0028757795437715657","1","2","2","2/2","3.13152","2.77802","0.0978688","0.0982041","0.103327","0.103171","34396.2","37802.9","34478.6","37973.7","43576.7","48938.2","53717.2","60770.7","2.0229","2.04235","0.19215","0","23.7194","999.9","70.284","23.837","21.3234","55.5654","48.9022","1","-0.325894","0","20.1613","5.20261","12.0049","4.9758","3.29393","9999.0","9999.0","9999.0","999.9","1.86284","1.86768","1.86748","1.86866","1.86951","1.86554","1.86665","1.86813","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-0.786","0.3977","-0.7227653067499374","-6.487210954739519e-05","-2.4409428367483097e-07","9.095835925385503e-11","-0.058021795408389455","-0.01986192697838315","0.0029611967260430197","-4.70087524374558e-05","4.0","2300.0","1.0","21.0","166582.5","166582.6","0.999756","2.5647","1.54785","2.2998","1.64673","2.34497","27.3285","15.6818","18","501.781","506.488","24.3208","23.1323","30.0003","23.1012","23.0597","20.033","0","100","-999.9","413.256","21.8709","97.6958","98.4117",NA
"2","1715871418.1","5.0","20240516 09:56:58","09:56:58","5","TT24_102","ozzie","1715871409.366666","0.00030890202542669266","0.30890202542669265","1.366098931657995","418.14273333333335","280.94986220731636","27.491555727247892","40.91617687605234","0.01724005528738541","2.889047095026218","0.017183104691704615","0.010744541454093889","321.51534202807636","28.04855998889104","28.04855998889104","3.805595692920801","61.462228026024576","2.0995782890513786","3.4160464995873023","1.7060174038694225","-13.622579321317145","-286.6491864866581","-21.44038118114467","-0.19680496104354006","1.3431630066749767","0.31225163101516645","1.366098931657995","428.92588521836296","427.2527090909088","-0.0002726474914862419","64.90953987229665","0.30890202542669265","21.08384496499341","21.446655944055948","-1.0792704064171225e-05","110.5629235335931","0","0.0","1","0","51743.0","-","-","0","0","0","0","-","-","0","0","0","0.5","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","1999.9973333333332","1681.1976396000393","0.8405999405999405","0.16075788535788532","6.0","0.5","0: Broadleaf","2.0","True","1715871409.366666","418.14273333333335","419.9111333333333","21.45663333333333","21.089986666666665","418.92886666666675","21.058746666666668","500.02106666666657","97.75216","0.10001729333333333","26.208166666666667","26.863833333333332","999.8999999999999","0.0","0.0","9995.586666666666","0.0","4.520419333333333","-1.7684997999999998","427.31126666666665","428.9578","0.3666496","419.9111333333333","21.089986666666665","2.097432","2.0615913333333333","18.1997","17.925493333333335","1999.9973333333332","0.9800023999999999","0.01999780666666667","0.0","2.2758733333333336","0.0","21681.806666666667","17403.806666666664","39.8372","39.928866666666664","39.20806666666667","38.77893333333334","38.962266666666665","1960.0020000000002","39.996","0.0","1715871394.7","0.0","2.2737461538461536","0.2960410262331453","-121.07692318590578","21679.488461538458","15.0","0","--:--:--","1705876465","1705876460","0","0.025","-0.003","0.817","0.211","420.0","18.0","0.03","0.03","-1.7728385625","1.8309163235294186","0.24350607396376397","0","0.3667565625","0.024892499999999408","0.001934640243325298","1","1","2","1/2","3.13134","2.77784","0.0978394","0.0977799","0.103302","0.103138","34397.1","37820.9","34478.3","37974","43577.9","48940.2","53717.1","60770.8","2.02313","2.0422","0.192203","0","23.7213","999.9","70.284","23.816","21.2964","56.1154","49.391","1","-0.32577","0","20.1612","5.20231","12.0044","4.97565","3.2939","9999.0","9999.0","9999.0","999.9","1.8628","1.86769","1.86747","1.86871","1.86953","1.86558","1.86664","1.86813","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-0.786","0.3975","-0.7227653067499374","-6.487210954739519e-05","-2.4409428367483097e-07","9.095835925385503e-11","-0.058021795408389455","-0.01986192697838315","0.0029611967260430197","-4.70087524374558e-05","4.0","2300.0","1.0","21.0","166582.6","166582.6","0.9729","2.57568","1.54785","2.2998","1.64673","2.27173","27.3285","15.6731","18","501.936","506.404","24.3228","23.1342","30.0003","23.1023","23.0608","19.4941","0","100","-999.9","399.716","21.8709","97.6953","98.4121",NA
"3","1715871423.1","10.0","20240516 09:57:03","09:57:03","5","TT24_102","ozzie","1715871414.4571424","0.00031104930287975766","0.3110493028797577","1.3699084188679576","417.78299999999996","280.9665597424839","27.493189043311133","40.88097533247075","0.01734062073059522","2.8894912199386815","0.017283013806268843","0.010807043348063207","321.51619695870613","28.05433928264375","28.05433928264375","3.806877572975709","61.41947425997357","2.098937546441807","3.4173811673436334","1.707940026533902","-13.717274256997312","-286.5635495563449","-21.432008381928185","-0.1966352365643047","-0.37677122958757936","0.314406069981834","1.3699084188679576","423.95016362987155","425.006909090909","-0.5366215067711348","64.90953987229665","0.3110493028797577","21.07440110756616","21.43975734265735","-1.165534514388969e-05","110.5629235335931","0","0.0","1","0","52340.0","-","-","0","0","0","0","-","-","0","0","0","0.5","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","2000.0035714285714","1681.2028067143553","0.8405999022859236","0.16075781141183268","6.0","0.5","0: Broadleaf","2.0","True","1715871414.4571424","417.78299999999996","417.4885","21.450085714285713","21.080892857142857","418.56899999999996","21.052449999999997","500.0021428571429","97.75224285714286","0.09993239285714285","26.214778571428575","26.867771428571427","999.8999999999999","0.0","0.0","9998.128571428571","0.0","4.564432142857143","0.2944987857142856","426.9407857142857","426.4789285714285","0.3691924285714285","417.4885","21.080892857142857","2.096793571428572","2.0607035714285713","18.194842857142856","17.918649999999996","2000.0035714285714","0.9800027857142858","0.019997364285714282","0.0","2.2107500000000004","0.0","21671.60714285714","17403.87142857143","39.928285714285714","40.01314285714285","39.285500000000006","38.89707142857144","39.057785714285714","1960.0107142857144","39.993571428571435","0.0","1715871400.1","0.0","2.249532","-0.342684623120641","-123.60000020057801","21668.208","15.0","0","--:--:--","1705876465","1705876460","0","0.025","-0.003","0.817","0.211","420.0","18.0","0.03","0.03","-0.4789485","24.437822647058827","2.471381495881074","0","0.36865543749999996","0.03114908823529318","0.0024233188494487802","1","1","2","1/2","3.13127","2.77846","0.097224","0.0953808","0.103277","0.103095","34420.4","37921","34478.2","37973.6","43579","48942.1","53716.9","60770.6","2.02275","2.04235","0.19227","0","23.7213","999.9","70.26","23.816","21.2899","55.3154","49.3109","1","-0.325554","0","20.1614","5.20246","12.0044","4.9756","3.29393","9999.0","9999.0","9999.0","999.9","1.86279","1.86768","1.86749","1.86868","1.86954","1.86556","1.86665","1.86813","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-0.785","0.3972","-0.7227653067499374","-6.487210954739519e-05","-2.4409428367483097e-07","9.095835925385503e-11","-0.058021795408389455","-0.01986192697838315","0.0029611967260430197","-4.70087524374558e-05","4.0","2300.0","1.0","21.0","166582.6","166582.7","0.943604","2.5647","1.54785","2.2998","1.64673","2.35352","27.3285","15.6818","18","501.714","506.519","24.3246","23.1358","30.0003","23.1042","23.0627","18.9144","0","100","-999.9","379.475","21.8709","97.695","98.4115",NA
"4","1715871428.1","15.0","20240516 09:57:08","09:57:08","5","TT24_102","ozzie","1715871419.9461534","0.00031462623788418054","0.31462623788418054","1.5978709816451497","415.34892307692303","259.2665864291723","25.369910847619867","40.642974068681646","0.017518043235280934","2.889086968709501","0.01745924541803924","0.010917294603154678","321.51111207692304","28.061040688145198","28.061040688145198","3.8083644542752695","61.37151087301017","2.0982210404047925","3.418884447453849","1.710143413870477","-13.875017090692362","-286.4077155625693","-21.424865260540283","-0.19648583687893506","-4.610337549974753","0.31796806088448387","1.5978709816451497","408.9153743469067","416.2982303030299","-1.8322498418431845","64.90953987229665","0.31462623788418054","21.062512487769222","21.432067132867147","-1.2148071616496092e-05","110.5629235335931","0","0.0","1","0","51613.0","-","-","0","0","0","0","-","-","0","0","0","0.5","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","1999.970769230769","1681.1753307692306","0.840599951076208","0.1607579055770815","6.0","0.5","0: Broadleaf","2.0","True","1715871419.9461534","415.34892307692303","409.9751538461539","21.442669230769226","21.069300000000002","416.13423076923067","21.04531538461538","500.0143846153846","97.75253846153849","0.10006644615384616","26.222223076923076","26.876276923076926","999.8999999999999","0.0","0.0","9995.776923076923","0.0","4.608320769230771","5.373781769230769","424.45015384615385","418.79900000000004","0.3733444615384615","409.9751538461539","21.069300000000002","2.0960723076923076","2.059576153846154","18.18937692307692","17.909953846153844","1999.970769230769","0.9800004615384614","0.0199996","0.0","2.261230769230769","0.0","21660.092307692303","17403.584615384618","40.02384615384615","40.095923076923086","39.36515384615385","39.02376923076923","39.144","1959.9746153846158","39.99615384615384","0.0","1715871404.9","0.0","2.2723679999999997","-0.14413847828050944","-120.21538444778555","21658.147999999997","15.0","0","--:--:--","1705876465","1705876460","0","0.025","-0.003","0.817","0.211","420.0","18.0","0.03","0.03","4.917660875","82.01675047058824","6.511568823802072","0","0.37300306250000004","0.0537676764705869","0.0042498089290689016","1","1","2","1/2","3.13147","2.77784","0.095538","0.0924101","0.103248","0.103047","34484.2","38045.7","34477.7","37973.7","43579.9","48944.3","53716.4","60770.4","2.02313","2.04177","0.193238","0","23.7213","999.9","70.26","23.816","21.2888","56.2554","49.2708","1","-0.325442","0","20.1613","5.20276","12.0046","4.9756","3.2939","9999.0","9999.0","9999.0","999.9","1.86281","1.86768","1.86749","1.86869","1.86951","1.86557","1.86665","1.86813","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-0.784","0.3968","-0.7227653067499374","-6.487210954739519e-05","-2.4409428367483097e-07","9.095835925385503e-11","-0.058021795408389455","-0.01986192697838315","0.0029611967260430197","-4.70087524374558e-05","4.0","2300.0","1.0","21.0","166582.7","166582.8","0.909424","2.57446","1.54785","2.2998","1.64673","2.19604","27.3285","15.6643","18","501.964","506.159","24.3262","23.1377","30.0001","23.1052","23.0636","18.2367","0","100","-999.9","365.939","21.8709","97.6939","98.4115",NA
"5","1715871433","19.90000009536743","20240516 09:57:13","09:57:13","5","TT24_102","ozzie","1715871424.9307692","0.0003167758792370617","0.31677587923706174","2.0107398256028026","409.4403076923078","217.21124414352758","21.25478742215997","40.064991738242334","0.01761327226148646","2.8878136382958886","0.017553808508891627","0.01097645608215431","321.5099169230769","28.06835086838911","28.06835086838911","3.809986985859442","61.32262342302042","2.0974339210282444","3.4203264699873737","1.7125530648311975","-13.969816274354422","-286.3082193077014","-21.428413310229605","-0.19653196920847904","-9.989309026352254","0.3207426543470714","2.0107398256028026","392.31961133049896","403.55293502248765","-2.6868818189928207","64.90953987229665","0.31677587923706174","21.04889658425879","21.420999089385198","-1.6094339124376945e-05","110.5629235335931","0","0.0","1","0","51852.0","-","-","0","0","0","0","-","-","0","0","0","0.5","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","1999.960769230769","1681.1671384615386","0.8406000579242132","0.16075811179373134","6.0","0.5","0: Broadleaf","2.0","True","1715871424.9307692","409.4403076923078","397.61153846153843","21.43452307692308","21.05790769230769","410.2242307692307","21.037492307692307","500.03430769230766","97.7529846153846","0.10008696923076923","26.229361538461543","26.88358461538462","999.8999999999999","0.0","0.0","9988.42153846154","0.0","4.6263538461538465","11.828635615384615","418.40853846153846","406.1646923076923","0.37659161538461533","397.61153846153843","21.05790769230769","2.0952869230769227","2.058473076923077","18.1834","17.901423076923077","1999.960769230769","0.9799974615384615","0.020002507692307693","0.0","2.232923076923077","0.0","21649.29230769231","17403.484615384616","40.12007692307692","40.17284615384615","39.43730769230769","39.139153846153846","39.22569230769231","1959.9576923076925","40.00307692307692","0.0","1715871409.7","0.0","2.230644","0.49840766642949946","-137.83846153363007","21647.932","15.0","0","--:--:--","1705876465","1705876460","0","0.025","-0.003","0.817","0.211","420.0","18.0","0.03","0.03","11.351037125","89.12839063442507","6.908697876743932","0","0.37641706249999995","0.04477826526662676","0.003762471153855372","1","1","2","1/2","3.13141","2.77778","0.0931682","0.0893224","0.103217","0.103017","34574.4","38174.9","34477.6","37973.5","43580.9","48945.5","53716.1","60770.4","2.0227","2.04192","0.193141","0","23.7234","999.9","70.26","23.816","21.2911","55.9954","49.0585","1","-0.325325","0","20.1611","5.20261","12.0053","4.97575","3.2938","9999.0","9999.0","9999.0","999.9","1.8628","1.86768","1.8675","1.8687","1.86953","1.86557","1.86663","1.86813","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-0.781","0.3964","-0.7227653067499374","-6.487210954739519e-05","-2.4409428367483097e-07","9.095835925385503e-11","-0.058021795408389455","-0.01986192697838315","0.0029611967260430197","-4.70087524374558e-05","4.0","2300.0","1.0","21.0","166582.8","166582.9","0.878906","2.56714","1.54785","2.2998","1.64673","2.35474","27.3285","15.6818","18","501.702","506.265","24.3273","23.1391","30.0002","23.1062","23.0646","17.6253","0","100","-999.9","352.475","21.8709","97.6934","98.4113",NA
"6","1715871438","24.90000009536743","20240516 09:57:18","09:57:18","5","TT24_102","ozzie","1715871429.8999999","0.00032051681495531327","0.32051681495531326","1.403844553777424","399.40346153846156","263.30458522174376","25.765268523830667","39.083016451154926","0.017804379942823575","2.890552498561499","0.017743678562621948","0.011095235543751188","321.5163226153847","28.072488075987273","28.072488075987273","3.810905527282868","61.27580878677149","2.096664246504841","3.4216835126580634","1.714241280778027","-14.134791539529315","-286.17798833680047","-21.399531691320412","-0.19598895226550894","-14.763087181526938","0.3234792697329379","1.403844553777424","375.0243111709313","388.676886536993","-3.015510648581073","64.90953987229665","0.32051681495531326","21.04010384392939","21.4165701935962","-1.1819796265769724e-05","110.5629235335931","0","0.0","1","0","52042.0","-","-","0","0","0","0","-","-","0","0","0","0.5","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","1999.9992307692312","1681.199584615385","0.8406001156154291","0.16075822313777813","6.0","0.5","0: Broadleaf","2.0","True","1715871429.8999999","399.40346153846156","381.8436923076922","21.426569230769232","21.04673076923077","400.1852307692307","21.02986153846154","500.0255384615385","97.75343846153848","0.10003606923076923","26.23607692307692","26.88922307692308","999.8999999999999","0.0","0.0","10004.102307692308","0.0","4.634840769230769","17.559538461538462","408.14869230769233","390.0533076923077","0.3798175384615385","381.8436923076922","21.04673076923077","2.0945199999999997","2.057390769230769","18.177576923076924","17.893069230769232","1999.9992307692312","0.9799960769230771","0.020003792307692312","0.0","2.223223076923077","0.0","21637.82307692308","17403.8","40.21615384615385","40.24976923076924","39.50938461538462","39.25938461538462","39.30261538461538","1959.9915384615388","40.0076923076923","0.0","1715871415.1","0.0","2.232092307692308","-0.8503111155263633","-159.62051273332867","21635.226923076923","15.0","0","--:--:--","1705876465","1705876460","0","0.025","-0.003","0.817","0.211","420.0","18.0","0.03","0.03","17.282049999999998","53.04369894872548","4.197909033822672","0","0.37963025","0.02679074473590985","0.0024601067431109596","1","1","2","1/2","3.13145","2.77828","0.090432","0.0863835","0.103194","0.102982","34678.6","38297.9","34477.6","37973.4","43581.7","48947.2","53715.9","60770.4","2.02278","2.042","0.193335","0","23.7254","999.9","70.26","23.837","21.3164","55.1054","49.0785","1","-0.325168","0","20.1611","5.20291","12.0059","4.9757","3.29385","9999.0","9999.0","9999.0","999.9","1.86279","1.86768","1.8675","1.8687","1.86952","1.86556","1.86664","1.86813","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-0.778","0.3962","-0.7227653067499374","-6.487210954739519e-05","-2.4409428367483097e-07","9.095835925385503e-11","-0.058021795408389455","-0.01986192697838315","0.0029611967260430197","-4.70087524374558e-05","4.0","2300.0","1.0","21.0","166582.9","166583.0","0.847168","2.56958","1.54785","2.30103","1.64673","2.21313","27.3285","15.6731","18","501.769","506.333","24.3295","23.1406","30.0003","23.108","23.0665","16.9886","0","100","-999.9","332.266","21.8709","97.6932","98.4112",NA
"7","1715871443","29.90000009536743","20240516 09:57:23","09:57:23","5","TT24_102","ozzie","1715871434.8692307","0.00031972428985576153","0.3197242898557615","1.3363275516222717","386.3176923076923","256.089218251514","25.059299490743843","37.802648687082154","0.017731580043431283","2.8901399464451663","0.017671364580354697","0.011049995852980585","321.5184205384615","28.0812122229542","28.0812122229542","3.812843092677343","61.222026741175775","2.095847437210189","3.4233552019939846","1.7169956554671542","-14.099841182639084","-286.2080257401101","-21.406650694870006","-0.19609707915765284","-17.25387345918785","0.3249946377753015","1.3363275516222717","359.40469017447","373.391012121212","-3.0650207787847035","64.90953987229665","0.3197242898557615","21.030289592319967","21.405811188811203","-1.2983062986385932e-05","110.5629235335931","0","0.0","1","0","51575.0","-","-","0","0","0","0","-","-","0","0","0","0.5","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","2000.0115384615383","1681.2099923076921","0.840600146537616","0.16075828281759913","6.0","0.5","0: Broadleaf","2.0","True","1715871434.8692307","386.3176923076923","365.76630769230763","21.418153846153846","21.036561538461545","387.0967692307692","21.021784615384618","500.0633076923077","97.75376923076922","0.10001650000000001","26.244346153846156","26.89193076923077","999.8999999999999","0.0","0.0","10001.69846153846","0.0","4.622111538461539","20.551130769230767","394.7729999999999","373.62630769230776","0.3815753846153846","365.76630769230763","21.036561538461545","2.093703846153846","2.0564046153846154","18.171384615384614","17.885438461538463","2000.0115384615383","0.9799956153846154","0.020004184615384616","0.0","2.2132538461538465","0.0","21624.161538461536","17403.907692307694","40.30746153846154","40.326692307692305","39.58630769230769","39.37476923076924","39.38438461538462","1960.0015384615385","40.01","0.0","1715871419.9","0.0","2.2129846153846153","0.041757270447447245","-177.76068366849623","21621.919230769232","15.0","0","--:--:--","1705876465","1705876460","0","0.025","-0.003","0.817","0.211","420.0","18.0","0.03","0.03","20.413125","21.704537680838733","1.8367697516632289","0","0.381570125","0.01870811369040086","0.0018267610638435996","1","1","2","1/2","3.13145","2.778","0.087597","0.0832415","0.103161","0.102952","34786.5","38429.4","34477.4","37973.2","43582.9","48948.1","53715.8","60769.9","2.02292","2.04142","0.19297","0","23.7283","999.9","70.26","23.837","21.3162","55.7454","49.1907","1","-0.324776","0","20.1612","5.20351","12.0047","4.97565","3.29388","9999.0","9999.0","9999.0","999.9","1.86281","1.86768","1.86751","1.86869","1.86952","1.86555","1.86664","1.86813","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-0.774","0.3957","-0.7227653067499374","-6.487210954739519e-05","-2.4409428367483097e-07","9.095835925385503e-11","-0.058021795408389455","-0.01986192697838315","0.0029611967260430197","-4.70087524374558e-05","4.0","2300.0","1.0","21.0","166583.0","166583.0","0.81543","2.58057","1.54785","2.2998","1.64673","2.35474","27.3285","15.6731","18","501.873","505.972","24.3318","23.1421","30.0002","23.109","23.0674","16.3614","0","100","-999.9","318.821","21.8709","97.6928","98.4105",NA
