"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time","hhmmss","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_hum","CO2_hrs","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA"
"1","1718204199.1","0","20240612 09:56:39","09:56:39","5","2329","ozzie","1718204191.0999994","0.000989784463618042","0.989784463618042","4.702574068397016","413.85893333333337","280.34754676234866","27.64042905702659","40.80377595069084","0.06107750741016627","2.90332199508881","0.06037256965037972","0.0377955138679123","321.51472319999993","26.69518702457149","26.69518702457149","3.515582544797427","60.98860402342039","1.9439353084194233","3.187374657194855","1.5716472363780036","-43.64949484555565","-258.988667318763","-19.034338695716386","-0.1577776600350944","4.6835687230240985","0.9882205920684048","4.702574068397016","427.89187523349545","422.14286060606065","-9.883267699802095e-05","64.8599872265852","0.989784463618042","18.548524767951477","19.71285030303031","-4.828226564517118e-06","125.35248029088092","0","0.0","1","0","52587.0","1999.992","1681.1932799999997","0.8406000024000095","0.1607580046320185","6.0","0.5","0: Broadleaf","2.0","True","1718204191.0999994","413.85893333333337","419.96973333333335","19.716679999999997","18.554246666666668","417.26053333333334","19.542873333333333","500.0215333333333","98.49344666666667","0.09999342666666668","25.040560000000003","24.887306666666667","999.8999999999999","0.0","0.0","10001.926666666668","0.0","1.6549200000000002","-6.1107993333333335","422.18313333333333","427.9092666666667","1.1624299999999999","419.96973333333335","18.554246666666668","1.9419633333333333","1.827470666666667","16.97891333333333","16.02376666666667","1999.992","0.9800000000000002","0.01999960666666667","0.0","2.258373333333333","0.0","46648.733333333344","17403.766666666666","40.50386666666667","40.18733333333333","39.66226666666667","39.4622","39.416399999999996","1959.992","40.0","0.0","1718204181.2","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","-6.109593333333333","-0.09258779220779799","0.03032801381927639","1","1.1609852380952381","0.02499506493506677","0.0027164711335667096","1","2","2","2/2","3.1309","2.77789","0.0986593","0.0992983","0.0989021","0.0950952","34316.9","36922.2","34420.7","37125.5","43699.5","48134.8","53601.2","59227.6","2.03157","2.0565","0.154436","0","22.3578","999.9","70.144","21.993","18.8901","56.0209","49.6434","1","-0.441098","0","20.1618","5.20022","12.004","4.9757","3.29298","9999.0","9999.0","999.9","9999.0","1.86278","1.86768","1.86737","1.8686","1.8695","1.86554","1.86661","1.86803","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.401","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.3","21633.2","0.994873","2.5647","1.54785","2.30103","1.64673","2.28882","25.7988","15.6731","18","492.211","500.185","22.6861","21.5717","30.0002","21.5673","21.5277","19.8681","0","100","-999.9","413.255","18.6341","97.5032","96.0285",NA
"2","1718204204.1","5.0","20240612 09:56:44","09:56:44","5","2329","ozzie","1718204195.366666","0.0009933001348466021","0.9933001348466022","4.634679059140873","413.8400666666667","282.42901831354885","27.84561902154061","40.80187263001278","0.061247951312171894","2.9039243836857556","0.06053924347665264","0.03790001837408591","321.5123816279915","26.699943299144046","26.699943299144046","3.5165669732918543","60.95895162265812","1.9436874246048423","3.1885184585136206","1.572879548687012","-43.80453594673515","-258.84455867572393","-19.020829658884058","-0.15754265335164064","4.577142678048689","0.9900021360625861","4.634679059140873","427.77952443149314","422.11345454545426","-0.00010109613136771747","64.8599872265852","0.9933001348466022","18.541736117413006","19.71023696969697","-6.358538569327908e-06","125.35248029088092","0","0.0","1","0","52388.0","1999.9773333333333","1681.1809595999955","0.8406000066000726","0.1607580127381401","6.0","0.5","0: Broadleaf","2.0","True","1718204195.366666","413.8400666666667","419.8241333333333","19.714186666666667","18.549633333333336","417.24160000000006","19.540379999999995","500.0123333333334","98.49336666666666","0.09996906000000001","25.046580000000002","24.897366666666663","999.8999999999999","0.0","0.0","10005.386666666665","0.0","1.6549200000000002","-5.984068","422.1627333333334","427.75893333333335","1.1645593333333335","419.8241333333333","18.549633333333336","1.941716666666667","1.8270146666666667","16.976913333333332","16.01986","1999.9773333333333","0.9800005333333334","0.01999918666666667","0.0","2.3282666666666665","0.0","46564.693333333336","17403.64","40.574733333333334","40.245599999999996","39.72473333333333","39.54546666666667","39.483066666666666","1959.9779999999998","40.0","0.0","1718204186","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","-6.011386","1.5781073684210543","0.34797179060090494","0","1.1640345","0.030396541353382274","0.0031988708554738596","1","1","2","1/2","3.13097","2.77827","0.0986258","0.0987031","0.0988957","0.0950674","34317.8","36946.4","34420.4","37125.3","43699.6","48136.1","53601","59227.4","2.03165","2.0564","0.154853","0","22.3595","999.9","70.144","21.993","18.888","56.2109","49.6955","1","-0.441075","0","20.162","5.19962","12.004","4.9756","3.29295","9999.0","9999.0","999.9","9999.0","1.86277","1.86768","1.86737","1.86859","1.86951","1.86554","1.86662","1.86805","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.402","0.1739","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.4","21633.2","0.968018","2.5647","1.54785","2.30103","1.64551","2.23999","25.7988","15.6731","18","492.267","500.136","22.6908","21.5721","30.0002","21.5684","21.5291","19.3696","0","100","-999.9","399.832","18.6341","97.5025","96.0281",NA
"3","1718204209.1","10.0","20240612 09:56:49","09:56:49","5","2329","ozzie","1718204200.4571424","0.0009970701870468262","0.9970701870468263","4.715419011107778","413.3939285714286","280.2395212081767","27.6297016002092","40.75781617283717","0.06142757144281626","2.90464343973995","0.0607149010491898","0.038010154737554876","321.51222710146374","26.705469179784522","26.705469179784522","3.517710992994137","60.92609983836728","1.9434396120855348","3.1898309874443718","1.574271380908602","-43.970795248765036","-258.6925773051451","-19.006141142462063","-0.1572865949084985","2.616821299775898","0.9931432210903506","4.715419011107778","421.9361768187941","419.40071515151493","-0.62675649864726","64.8599872265852","0.9970701870468263","18.536015587314978","19.708935151515146","-3.988615521225534e-06","125.35248029088092","0","0.0","1","0","52379.0","1999.9771428571428","1681.1807352857325","0.8405999744997177","0.16075795078445512","6.0","0.5","0: Broadleaf","2.0","True","1718204200.4571424","413.3939285714286","417.02671428571426","19.71170714285714","18.54345","416.7947857142857","19.53790714285714","500.0097857142858","98.4932357142857","0.0999301642857143","25.05348571428571","24.902542857142855","999.8999999999999","0.0","0.0","10009.521428571428","0.0","1.6549200000000002","-3.6329921428571432","421.7064285714286","424.9062142857143","1.1682657142857145","417.02671428571426","18.54345","1.94147","1.8264035714285713","16.974914285714284","16.014621428571427","1999.9771428571428","0.9800014285714285","0.01999849285714286","0.0","2.290235714285714","0.0","46464.75000000001","17403.64285714286","40.664928571428575","40.307928571428576","39.79885714285715","39.65592857142857","39.56221428571428","1959.98","39.99785714285714","0.0","1718204190.8","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","-4.7896374999999995","19.7346437593985","2.654444306676776","0","1.1663210000000002","0.045170526315788675","0.004424584613271634","1","1","2","1/2","3.13094","2.77803","0.0979153","0.0962319","0.0988884","0.0950536","34344.8","37047.6","34420.4","37125.3","43699.6","48136.5","53600.7","59227.3","2.03163","2.05617","0.15451","0","22.3611","999.9","70.144","22.003","18.9009","56.1309","49.7276","1","-0.440866","0","20.1619","5.19887","12.004","4.97565","3.29298","9999.0","9999.0","999.9","9999.0","1.86278","1.86768","1.86737","1.86862","1.86951","1.86554","1.86663","1.86807","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.397","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.5","21633.3","0.939941","2.5647","1.54785","2.30103","1.64673","2.32056","25.7988","15.6818","18","492.259","499.998","22.6942","21.5736","30.0001","21.5691","21.5295","18.7332","0","100","-999.9","379.668","18.6341","97.5022","96.028",NA
"4","1718204214.1","15.0","20240612 09:56:54","09:56:54","5","2329","ozzie","1718204205.9461534","0.0009971213767632527","0.9971213767632526","4.722649101236051","410.7843076923078","277.3481844392191","27.344632125629136","40.50052031001869","0.06135145049052749","2.905793911855188","0.060640812209533324","0.03796366970736052","321.5091805708713","26.71403953676127","26.71403953676127","3.5194859515599495","60.885847806594164","1.94322327602922","3.1915844913614917","1.5762626755307294","-43.97305271525944","-258.69295924178743","-19.00034062931089","-0.1571720154864238","-1.7570969734860697","0.9959758515221283","4.722649101236051","406.9807612922765","410.5979999999999","-1.822459977738882","64.8599872265852","0.9971213767632526","18.53391212018114","19.706904848484854","-4.225680783471259e-06","125.35248029088092","0","0.0","1","0","52422.0","1999.9592307692305","1681.1655918462066","0.8405999312293938","0.1607578672727301","6.0","0.5","0: Broadleaf","2.0","True","1718204205.9461534","410.7843076923078","409.1667692307692","19.709515384615386","18.537915384615385","414.1818461538461","19.535715384615383","500.00630769230764","98.49326153846155","0.09989197692307693","25.062707692307693","24.903769230769228","999.8999999999999","0.0","0.0","10016.115384615385","0.0","1.6549200000000002","1.617469230769231","419.0433076923076","416.89538461538456","1.171613076923077","409.1667692307692","18.537915384615385","1.9412553846153846","1.8258584615384614","16.97315384615385","16.00993846153846","1999.9592307692305","0.9800021538461537","0.01999793076923077","0.0","2.3222230769230774","0.0","46356.7","17403.499999999996","40.75461538461539","40.36992307692307","39.87953846153846","39.769","39.648769230769226","1959.965384615385","39.994615384615386","0.0","1718204196.2","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","-0.30307749999999956","64.27069127819547","6.629700294415936","0","1.169979","0.03695368421052685","0.0037880481781519056","1","1","2","1/2","3.13094","2.7779","0.0961995","0.0931959","0.0988863","0.095056","34409.9","37171.7","34420.2","37125","43699.2","48135.9","53600.3","59227.1","2.03157","2.05617","0.154629","0","22.3631","999.9","70.144","21.993","18.8905","56.0809","49.7796","1","-0.440922","0","20.1619","5.19827","12.004","4.9751","3.29298","9999.0","9999.0","999.9","9999.0","1.86278","1.86768","1.86737","1.8686","1.86951","1.86554","1.86662","1.86804","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.385","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.6","21633.4","0.905762","2.5708","1.54785","2.30103","1.64673","2.22412","25.7988","15.6643","18","492.228","499.998","22.699","21.5744","30.0001","21.5691","21.5295","18.1206","0","100","-999.9","366.145","18.6341","97.5015","96.0276",NA
"5","1718204219.1","20.0","20240612 09:56:59","09:56:59","5","2329","ozzie","1718204210.9461534","0.000996806199527049","0.9968061995270491","4.641482309998323","404.6902307692308","273.26879555532514","26.942421523339203","39.89967007248209","0.061229676600874326","2.9025017845823085","0.06052104616429107","0.037888638045434124","321.5096162632492","26.726112871650255","26.726112871650255","3.521987718837061","60.845592969155106","1.9431254216612972","3.1935351877437363","1.578862297175764","-43.95915339914286","-258.68458534416334","-19.023407538710874","-0.1575300187678863","-7.319364100332517","0.9970304258312744","4.641482309998323","389.94251351833975","397.80041212121205","-2.6262263811749125","64.8599872265852","0.9968061995270491","18.535937648660695","19.70848727272727","2.522871440269068e-06","125.35248029088092","0","0.0","1","0","52571.0","1999.9630769230766","1681.1687303077815","0.8405998839209786","0.16075777596748864","6.0","0.5","0: Broadleaf","2.0","True","1718204210.9461534","404.6902307692308","396.39130769230775","19.70853076923077","18.535692307692305","408.08030769230766","19.53473076923077","500.0076923076922","98.49309230769231","0.10002173076923077","25.07296153846154","24.905584615384615","999.8999999999999","0.0","0.0","9997.263846153846","0.0","1.6549200000000002","8.298866153846154","412.8263076923077","403.87761538461535","1.1728653846153845","396.39130769230775","18.535692307692305","1.941156153846154","1.8256353846153848","16.972338461538463","16.008015384615383","1999.9630769230766","0.9800030769230766","0.019997215384615383","0.0","2.2591230769230775","0.0","46252.63846153847","17403.53846153846","40.84107692307692","40.43253846153846","39.951692307692305","39.86515384615385","39.72569230769231","1959.9723076923076","39.99153846153847","0.0","1718204201","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","3.9167680000000002","83.62712210526315","8.143458216667291","0","1.1716625000000003","0.01877278195488499","0.002439102037635973","1","1","2","1/2","3.13105","2.77822","0.0937795","0.0900927","0.0988888","0.0950605","34502","37299.2","34420.2","37125.4","43698.9","48135.4","53600.4","59227.3","2.03205","2.05585","0.155237","0","22.3671","999.9","70.144","22.003","18.9015","56.1209","49.8798","1","-0.441263","0","20.1618","5.19872","12.004","4.97535","3.29293","9999.0","9999.0","999.9","9999.0","1.86278","1.86768","1.86737","1.8686","1.86951","1.86554","1.86662","1.86808","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.368","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.7","21633.5","0.876465","2.5769","1.54785","2.30103","1.64673","2.18872","25.8194","15.6556","18","492.538","499.807","22.7038","21.5755","30","21.5705","21.5308","17.4541","0","100","-999.9","345.949","18.6341","97.5017","96.0281",NA
"6","1718204224.1","25.0","20240612 09:57:04","09:57:04","5","2329","ozzie","1718204215.9461534","0.000997345230316207","0.997345230316207","4.419178090702122","394.53476923076926","269.0679726586888","26.528309128315833","38.89849920302142","0.061181894311396874","2.902842536199456","0.06047444456765079","0.037859407709491505","321.5062133076923","26.735950950844174","26.735950950844174","3.5240274571216745","60.80807777757019","1.9431070507109043","3.195475209426277","1.5809204064107703","-43.98292465694473","-258.6595186598788","-19.02124313167729","-0.15747314080851993","-12.022029849460159","0.9971641973126244","4.419178090702122","373.2136741317412","383.1104303030302","-2.9692488338029985","64.8599872265852","0.997345230316207","18.536009769898424","19.70919515151515","1.8887285097276498e-06","125.35248029088092","0","0.0","1","0","52381.0","1999.9423076923076","1681.1512384615385","0.8405998673038646","0.16075774389645855","6.0","0.5","0: Broadleaf","2.0","True","1718204215.9461534","394.53476923076926","380.58069230769223","19.708300000000005","18.53530769230769","397.91192307692313","19.53449230769231","500.0093076923077","98.49333846153846","0.09999788461538461","25.08315384615385","24.912161538461536","999.8999999999999","0.0","0.0","9999.190769230769","0.0","1.6549200000000002","13.954042307692307","402.4665384615385","387.7680769230769","1.1729915384615384","380.58069230769223","18.53530769230769","1.9411361538461542","1.8256038461538464","16.972176923076923","16.00773846153846","1999.9423076923076","0.9800036153846151","0.019996738461538464","0.0","2.351969230769231","0.0","46132.46153846154","17403.35384615385","40.92276923076923","40.49007692307692","40.02861538461539","39.96607692307692","39.80261538461538","1959.9523076923078","39.99","0.0","1718204205.8","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","10.943028499999999","67.53325398496241","6.723517264496519","0","1.1729479999999999","-0.0018424060150374424","0.0007060778993850233","1","1","2","1/2","3.131","2.77797","0.0910301","0.0868655","0.0988901","0.0950531","34606.9","37431","34420.4","37124.9","43699","48135","53601","59226.8","2.03195","2.05582","0.155337","0","22.3721","999.9","70.144","21.993","18.8901","56.2209","49.9279","1","-0.440859","0","20.1618","5.19842","12.004","4.9756","3.29293","9999.0","9999.0","999.9","9999.0","1.86278","1.86768","1.86737","1.86859","1.86951","1.86554","1.86661","1.86808","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.349","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.8","21633.6","0.841064","2.5769","1.54785","2.30103","1.64673","2.21436","25.8194","15.6468","18","492.48","499.796","22.7087","21.5762","30.0001","21.5709","21.5313","16.8259","0","100","-999.9","332.447","18.6341","97.5026","96.0272",NA
"7","1718204229.1","30.0","20240612 09:57:09","09:57:09","5","2329","ozzie","1718204220.9461534","0.0009984041887943704","0.9984041887943703","4.336333310804787","381.3419230769231","258.33100711796504","25.469743226701528","37.59781286305507","0.06116231307639738","2.903767857922804","0.0604555357618246","0.03784753036747237","321.5143160769231","26.746440652981807","26.746440652981807","3.5262034329979914","60.768018299957326","1.9431258225607395","3.1976126207856015","1.583077610437252","-44.02962472583173","-258.62716169832925","-19.014874645421024","-0.15734499265892055","-14.946676792745976","0.9974186093855031","4.336333310804787","355.91783987859077","367.1659212121211","-3.211916131502599","64.8599872265852","0.9984041887943703","18.53358707646302","19.70808181818182","-1.958614123994985e-06","125.35248029088092","0","0.0","1","0","52489.0","1999.9930769230768","1681.1938846153846","0.8405998520764111","0.1607577145074733","6.0","0.5","0: Broadleaf","2.0","True","1718204220.9461534","381.3419230769231","363.86230769230764","19.708469230769232","18.535153846153843","384.7022307692307","19.53466153846154","499.9990769230769","98.49346923076925","0.099973","25.09437692307692","24.92186153846154","999.8999999999999","0.0","0.0","10004.47923076923","0.0","1.6549200000000002","17.47960769230769","389.0086923076923","370.7339230769231","1.1733207692307692","363.86230769230764","18.535153846153843","1.9411546153846155","1.8255907692307691","16.972330769230766","16.007638461538463","1999.9930769230768","0.9800049230769231","0.019995553846153848","0.0","2.2637","0.0","45991.315384615395","17403.79230769231","41.00938461538462","40.552692307692304","40.095923076923086","40.05738461538461","39.87953846153846","1960.003076923077","39.99","0.0","1718204211.2","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","14.871565499999999","44.72399323308273","4.492344739740568","0","1.1732765","0.0026900751879686303","0.0009306732777940872","1","1","2","1/2","3.13096","2.77808","0.0880182","0.0835786","0.09889","0.0950517","34721.5","37565.9","34420.4","37125.1","43698.7","48134.8","53601","59226.9","2.03163","2.05592","0.15609","0","22.3752","999.9","70.144","21.993","18.889","56.0809","49.5994","1","-0.440894","0","20.1617","5.19842","12.004","4.97545","3.2929","9999.0","9999.0","999.9","9999.0","1.86278","1.86768","1.86737","1.8686","1.8695","1.86554","1.86662","1.86807","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.328","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.8","21633.7","0.812988","2.57568","1.54785","2.30103","1.64673","2.20947","25.8194","15.6556","18","492.277","499.859","22.7136","21.5773","30.0002","21.5709","21.5313","16.2644","0","100","-999.9","312.178","18.6341","97.5025","96.0275",NA
"8","1718204234.1","35.0","20240612 09:57:14","09:57:14","5","2329","ozzie","1718204225.9461534","0.0009981829873546974","0.9981829873546973","4.033349677868164","366.46530769230765","251.5555829059106","24.801703210258374","36.13103590565182","0.06105903607193494","2.9051496437638966","0.06035495967772323","0.03778443169498055","321.5140705384616","26.757474686542096","26.757474686542096","3.5284935903867303","60.72635510070411","1.9431502029295484","3.1998465900137942","1.5853433874571818","-44.01986974234215","-258.6423122744932","-19.009114391414357","-0.1572258697880784","-16.300023790286858","0.9978183838433078","4.033349677868164","339.1161520241528","350.9348909090909","-3.251054925977529","64.8599872265852","0.9981829873546973","18.5349094174194","19.709033939393937","1.174011419379997e-06","125.35248029088092","0","0.0","1","0","52058.0","1999.9915384615388","1681.1925923076926","0.8405998525378376","0.1607577153980267","6.0","0.5","0: Broadleaf","2.0","True","1718204225.9461534","366.46530769230765","347.34530769230776","19.70873846153846","18.535030769230765","369.8061538461539","19.534915384615385","500.03215384615373","98.49335384615384","0.09997858461538461","25.1061","24.93413076923077","999.8999999999999","0.0","0.0","10012.41153846154","0.0","1.6549200000000002","19.12002307692308","373.83299999999997","353.9049230769232","1.17371","347.34530769230776","18.535030769230765","1.9411784615384617","1.8255776923076925","16.972538461538463","16.007523076923075","1999.9915384615388","0.9800056153846154","0.019994838461538465","0.0","2.246923076923077","0.0","45821.28461538461","17403.78461538462","41.091076923076926","40.61507692307692","40.16807692307692","40.15361538461538","39.95646153846154","1960.0015384615385","39.99","0.0","1718204216","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","18.247835000000002","19.491757894736843","2.004573778955267","0","1.1734765","0.00770210526315714","0.0010688932360156404","1","1","2","1/2","3.1311","2.77787","0.0849268","0.0804309","0.0988875","0.0950611","34839.1","37694.7","34420.3","37124.9","43698.2","48133.8","53600.6","59226.8","2.0319","2.0557","0.156455","0","22.3765","999.9","70.144","22.003","18.9007","56.6909","49.9559","1","-0.441039","0","20.1618","5.19917","12.004","4.97585","3.293","9999.0","9999.0","999.9","9999.0","1.86279","1.86768","1.86737","1.8686","1.86951","1.86554","1.86663","1.86805","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.307","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21633.9","21633.7","0.780029","2.57568","1.54785","2.30103","1.64673","2.26318","25.8194","15.6643","18","492.463","499.727","22.7187","21.5773","30.0001","21.5724","21.5323","15.5798","0","100","-999.9","298.633","18.6341","97.502","96.0272",NA
"9","1718204239.1","40.0","20240612 09:57:19","09:57:19","5","2329","ozzie","1718204230.9461534","0.0009959935120514168","0.9959935120514168","3.865997334969627","350.8915384615384","240.32170617320034","23.694075004763373","34.595503515827026","0.06080264600641236","2.9031326633583125","0.06010395456050512","0.037627077176601326","321.5137022307692","26.772578468450142","26.772578468450142","3.53163054541749","60.678792595480914","1.9431876418796268","3.202416460119786","1.5884429035378633","-43.92331388146748","-258.7173683790095","-19.030570566744444","-0.1575505964522108","-17.038652958761954","0.9972138130275015","3.865997334969627","322.92678421806943","334.8334181818181","-3.2284705800000424","64.8599872265852","0.9959935120514168","18.53976082071962","19.71129515151515","6.639615819864253e-06","125.35248029088092","0","0.0","1","0","52384.0","1999.9892307692305","1681.1906538461535","0.8405998532299789","0.16075771673385933","6.0","0.5","0: Broadleaf","2.0","True","1718204230.9461534","350.8915384615384","330.8656153846154","19.709153846153846","18.536115384615385","354.2116153846154","19.535330769230765","500.0140769230769","98.49321538461537","0.09993869230769234","25.11957692307692","24.942599999999995","999.8999999999999","0.0","0.0","10000.865384615383","0.0","1.6549200000000002","20.025907692307694","357.9462307692308","337.1143846153846","1.173043076923077","330.8656153846154","18.536115384615385","1.9412169230769232","1.8256815384615388","16.972853846153846","16.008415384615382","1999.9892307692305","0.9800063076923079","0.019994123076923075","0.0","2.215107692307692","0.0","45619.61538461538","17403.761538461542","41.17761538461538","40.677692307692304","40.2353076923077","40.245000000000005","40.038230769230765","1959.999230769231","39.99","0.0","1718204221.4","0.0","0","--:--:--","1716906199","1716906210","0","-0.068","0.035","-3.593","0.215","377.0","19.0","0.01","0.02","19.31236","10.994138345864677","1.1959649549213387","0","1.1731184999999997","-0.004235639097744909","0.001537352513251284","1","1","2","1/2","3.13081","2.7781","0.081778","0.0770483","0.0989006","0.0950826","34958.9","37833.3","34420.3","37124.9","43697.4","48132.2","53600.9","59226.9","2.03147","2.05615","0.156872","0","22.3776","999.9","70.144","22.003","18.9017","56.7309","49.8878","1","-0.441095","0","20.1617","5.19812","12.004","4.9745","3.29293","9999.0","9999.0","999.9","9999.0","1.86279","1.86768","1.86737","1.86859","1.8695","1.86554","1.86662","1.86805","5.0","0.0","0.0","0.0","11111111","oooooooo","off","off","off","off","0.0","100","100","-3.285","0.1738","-2.7370527218372507","-0.0019723138975258495","9.65282679471355e-07","-1.3231795267699157e-10","0.17380916624430798","0.0","0.0","0.0","5.0","2296.0","1.0","18.0","21634.0","21633.8","0.74585","2.56592","1.54785","2.30103","1.64673","2.36694","25.8194","15.6731","18","492.202","500.019","22.7237","21.5789","30","21.5727","21.5331","14.9637","0","100","-999.9","278.45","18.6341","97.5023","96.0272",NA
